game 1/100: A white -> draw (insufficient_material, 106 plies)  |  A vs B: +0 =1 -0 over 1 games, score 50.0%, elo -0 (95% -2400..+2400), avg plies 106, insufficient_material 1
game 2/100: A black -> draw (threefold_repetition, 101 plies)  |  A vs B: +0 =2 -0 over 2 games, score 50.0%, elo -0 (95% -0..-0), avg plies 104, insufficient_material 1, threefold_repetition 1
game 3/100: A white -> win (checkmate, 75 plies)  |  A vs B: +1 =2 -0 over 3 games, score 66.7%, elo +120 (95% -115..+869), avg plies 94, checkmate 1, insufficient_material 1, threefold_repetition 1
game 4/100: A black -> loss (checkmate, 67 plies)  |  A vs B: +1 =2 -1 over 4 games, score 50.0%, elo -0 (95% -382..+382), avg plies 87, checkmate 2, insufficient_material 1, threefold_repetition 1
game 5/100: A white -> win (checkmate, 175 plies)  |  A vs B: +2 =2 -1 over 5 games, score 60.0%, elo +70 (95% -207..+585), avg plies 105, checkmate 3, insufficient_material 1, threefold_repetition 1
game 6/100: A black -> loss (checkmate, 167 plies)  |  A vs B: +2 =2 -2 over 6 games, score 50.0%, elo -0 (95% -312..+312), avg plies 115, checkmate 4, insufficient_material 1, threefold_repetition 1
game 7/100: A white -> draw (threefold_repetition, 106 plies)  |  A vs B: +2 =3 -2 over 7 games, score 50.0%, elo -0 (95% -243..+243), avg plies 114, checkmate 4, insufficient_material 1, threefold_repetition 2
game 8/100: A black -> draw (insufficient_material, 114 plies)  |  A vs B: +2 =4 -2 over 8 games, score 50.0%, elo -0 (95% -202..+202), avg plies 114, checkmate 4, insufficient_material 2, threefold_repetition 2
game 9/100: A white -> win (checkmate, 131 plies)  |  A vs B: +3 =4 -2 over 9 games, score 55.6%, elo +39 (95% -147..+253), avg plies 116, checkmate 5, insufficient_material 2, threefold_repetition 2
game 10/100: A black -> loss (checkmate, 137 plies)  |  A vs B: +3 =4 -3 over 10 games, score 50.0%, elo -0 (95% -194..+194), avg plies 118, checkmate 6, insufficient_material 2, threefold_repetition 2
game 11/100: A white -> win (checkmate, 93 plies)  |  A vs B: +4 =4 -3 over 11 games, score 54.5%, elo +32 (95% -147..+231), avg plies 116, checkmate 7, insufficient_material 2, threefold_repetition 2
game 12/100: A black -> draw (threefold_repetition, 116 plies)  |  A vs B: +4 =5 -3 over 12 games, score 54.2%, elo +29 (95% -133..+206), avg plies 116, checkmate 7, insufficient_material 2, threefold_repetition 3
game 13/100: A white -> win (checkmate, 95 plies)  |  A vs B: +5 =5 -3 over 13 games, score 57.7%, elo +54 (95% -100..+235), avg plies 114, checkmate 8, insufficient_material 2, threefold_repetition 3
game 14/100: A black -> loss (checkmate, 83 plies)  |  A vs B: +5 =5 -4 over 14 games, score 53.6%, elo +25 (95% -132..+193), avg plies 112, checkmate 9, insufficient_material 2, threefold_repetition 3
game 15/100: A white -> win (checkmate, 171 plies)  |  A vs B: +6 =5 -4 over 15 games, score 56.7%, elo +47 (95% -103..+217), avg plies 116, checkmate 10, insufficient_material 2, threefold_repetition 3
game 16/100: A black -> win (checkmate, 82 plies)  |  A vs B: +7 =5 -4 over 16 games, score 59.4%, elo +66 (95% -78..+239), avg plies 114, checkmate 11, insufficient_material 2, threefold_repetition 3
game 17/100: A white -> loss (checkmate, 122 plies)  |  A vs B: +7 =5 -5 over 17 games, score 55.9%, elo +41 (95% -104..+203), avg plies 114, checkmate 12, insufficient_material 2, threefold_repetition 3
game 18/100: A black -> loss (checkmate, 89 plies)  |  A vs B: +7 =5 -6 over 18 games, score 52.8%, elo +19 (95% -126..+172), avg plies 113, checkmate 13, insufficient_material 2, threefold_repetition 3
game 19/100: A white -> win (checkmate, 121 plies)  |  A vs B: +8 =5 -6 over 19 games, score 55.3%, elo +37 (95% -103..+190), avg plies 113, checkmate 14, insufficient_material 2, threefold_repetition 3
game 20/100: A black -> loss (checkmate, 123 plies)  |  A vs B: +8 =5 -7 over 20 games, score 52.5%, elo +17 (95% -123..+164), avg plies 114, checkmate 15, insufficient_material 2, threefold_repetition 3
game 21/100: A white -> draw (threefold_repetition, 188 plies)  |  A vs B: +8 =6 -7 over 21 games, score 52.4%, elo +17 (95% -116..+154), avg plies 117, checkmate 15, insufficient_material 2, threefold_repetition 4
game 22/100: A black -> win (checkmate, 72 plies)  |  A vs B: +9 =6 -7 over 22 games, score 54.5%, elo +32 (95% -97..+170), avg plies 115, checkmate 16, insufficient_material 2, threefold_repetition 4
game 23/100: A white -> win (checkmate, 81 plies)  |  A vs B: +10 =6 -7 over 23 games, score 56.5%, elo +46 (95% -79..+184), avg plies 114, checkmate 17, insufficient_material 2, threefold_repetition 4
game 24/100: A black -> loss (checkmate, 81 plies)  |  A vs B: +10 =6 -8 over 24 games, score 54.2%, elo +29 (95% -96..+162), avg plies 112, checkmate 18, insufficient_material 2, threefold_repetition 4
game 25/100: A white -> win (checkmate, 137 plies)  |  A vs B: +11 =6 -8 over 25 games, score 56.0%, elo +42 (95% -80..+175), avg plies 113, checkmate 19, insufficient_material 2, threefold_repetition 4
game 26/100: A black -> loss (checkmate, 137 plies)  |  A vs B: +11 =6 -9 over 26 games, score 53.8%, elo +27 (95% -95..+155), avg plies 114, checkmate 20, insufficient_material 2, threefold_repetition 4
game 27/100: A white -> draw (threefold_repetition, 155 plies)  |  A vs B: +11 =7 -9 over 27 games, score 53.7%, elo +26 (95% -91..+149), avg plies 116, checkmate 20, insufficient_material 2, threefold_repetition 5
game 28/100: A black -> loss (checkmate, 105 plies)  |  A vs B: +11 =7 -10 over 28 games, score 51.8%, elo +12 (95% -104..+132), avg plies 115, checkmate 21, insufficient_material 2, threefold_repetition 5
game 29/100: A white -> win (checkmate, 129 plies)  |  A vs B: +12 =7 -10 over 29 games, score 53.4%, elo +24 (95% -90..+143), avg plies 116, checkmate 22, insufficient_material 2, threefold_repetition 5
game 30/100: A black -> draw (threefold_repetition, 195 plies)  |  A vs B: +12 =8 -10 over 30 games, score 53.3%, elo +23 (95% -87..+138), avg plies 118, checkmate 22, insufficient_material 2, threefold_repetition 6
game 31/100: A white -> win (checkmate, 105 plies)  |  A vs B: +13 =8 -10 over 31 games, score 54.8%, elo +34 (95% -74..+148), avg plies 118, checkmate 23, insufficient_material 2, threefold_repetition 6
game 32/100: A black -> loss (checkmate, 149 plies)  |  A vs B: +13 =8 -11 over 32 games, score 53.1%, elo +22 (95% -86..+134), avg plies 119, checkmate 24, insufficient_material 2, threefold_repetition 6
game 33/100: A white -> win (checkmate, 115 plies)  |  A vs B: +14 =8 -11 over 33 games, score 54.5%, elo +32 (95% -74..+143), avg plies 119, checkmate 25, insufficient_material 2, threefold_repetition 6
game 34/100: A black -> win (checkmate, 92 plies)  |  A vs B: +15 =8 -11 over 34 games, score 55.9%, elo +41 (95% -63..+153), avg plies 118, checkmate 26, insufficient_material 2, threefold_repetition 6
game 35/100: A white -> draw (threefold_repetition, 52 plies)  |  A vs B: +15 =9 -11 over 35 games, score 55.7%, elo +40 (95% -61..+148), avg plies 116, checkmate 26, insufficient_material 2, threefold_repetition 7
game 36/100: A black -> loss (checkmate, 141 plies)  |  A vs B: +15 =9 -12 over 36 games, score 54.2%, elo +29 (95% -71..+135), avg plies 117, checkmate 27, insufficient_material 2, threefold_repetition 7
game 37/100: A white -> win (checkmate, 129 plies)  |  A vs B: +16 =9 -12 over 37 games, score 55.4%, elo +38 (95% -61..+143), avg plies 117, checkmate 28, insufficient_material 2, threefold_repetition 7
game 38/100: A black -> draw (threefold_repetition, 42 plies)  |  A vs B: +16 =10 -12 over 38 games, score 55.3%, elo +37 (95% -59..+139), avg plies 115, checkmate 28, insufficient_material 2, threefold_repetition 8
game 39/100: A white -> win (checkmate, 139 plies)  |  A vs B: +17 =10 -12 over 39 games, score 56.4%, elo +45 (95% -50..+147), avg plies 116, checkmate 29, insufficient_material 2, threefold_repetition 8
game 40/100: A black -> draw (threefold_repetition, 150 plies)  |  A vs B: +17 =11 -12 over 40 games, score 56.2%, elo +44 (95% -49..+143), avg plies 117, checkmate 29, insufficient_material 2, threefold_repetition 9
game 41/100: A white -> win (checkmate, 187 plies)  |  A vs B: +18 =11 -12 over 41 games, score 57.3%, elo +51 (95% -40..+150), avg plies 118, checkmate 30, insufficient_material 2, threefold_repetition 9
game 42/100: A black -> win (checkmate, 144 plies)  |  A vs B: +19 =11 -12 over 42 games, score 58.3%, elo +58 (95% -32..+158), avg plies 119, checkmate 31, insufficient_material 2, threefold_repetition 9
game 43/100: A white -> loss (checkmate, 46 plies)  |  A vs B: +19 =11 -13 over 43 games, score 57.0%, elo +49 (95% -41..+146), avg plies 117, checkmate 32, insufficient_material 2, threefold_repetition 9
game 44/100: A black -> draw (threefold_repetition, 87 plies)  |  A vs B: +19 =12 -13 over 44 games, score 56.8%, elo +48 (95% -40..+142), avg plies 117, checkmate 32, insufficient_material 2, threefold_repetition 10
game 45/100: A white -> draw (threefold_repetition, 111 plies)  |  A vs B: +19 =13 -13 over 45 games, score 56.7%, elo +47 (95% -39..+139), avg plies 117, checkmate 32, insufficient_material 2, threefold_repetition 11
game 46/100: A black -> loss (checkmate, 185 plies)  |  A vs B: +19 =13 -14 over 46 games, score 55.4%, elo +38 (95% -48..+129), avg plies 118, checkmate 33, insufficient_material 2, threefold_repetition 11
