game 1/100: A white -> draw (threefold_repetition, 121 plies)  |  A vs B: +0 =1 -0 over 1 games, score 50.0%, elo -0 (95% -2400..+2400), avg plies 121, threefold_repetition 1
game 2/100: A black -> loss (checkmate, 121 plies)  |  A vs B: +0 =1 -1 over 2 games, score 25.0%, elo -191 (95% -2400..+182), avg plies 121, checkmate 1, threefold_repetition 1
game 3/100: A white -> win (checkmate, 71 plies)  |  A vs B: +1 =1 -1 over 3 games, score 50.0%, elo -0 (95% -2400..+2400), avg plies 104, checkmate 2, threefold_repetition 1
game 4/100: A black -> loss (checkmate, 77 plies)  |  A vs B: +1 =1 -2 over 4 games, score 37.5%, elo -89 (95% -2400..+293), avg plies 98, checkmate 3, threefold_repetition 1
game 5/100: A white -> win (checkmate, 123 plies)  |  A vs B: +2 =1 -2 over 5 games, score 50.0%, elo -0 (95% -473..+473), avg plies 103, checkmate 4, threefold_repetition 1
game 6/100: A black -> draw (threefold_repetition, 95 plies)  |  A vs B: +2 =2 -2 over 6 games, score 50.0%, elo -0 (95% -312..+312), avg plies 101, checkmate 4, threefold_repetition 2
game 7/100: A white -> loss (checkmate, 134 plies)  |  A vs B: +2 =2 -3 over 7 games, score 42.9%, elo -50 (95% -391..+202), avg plies 106, checkmate 5, threefold_repetition 2
game 8/100: A black -> win (checkmate, 138 plies)  |  A vs B: +3 =2 -3 over 8 games, score 50.0%, elo -0 (95% -264..+264), avg plies 110, checkmate 6, threefold_repetition 2
game 9/100: A white -> draw (insufficient_material, 103 plies)  |  A vs B: +3 =3 -3 over 9 games, score 50.0%, elo -0 (95% -223..+223), avg plies 109, checkmate 6, insufficient_material 1, threefold_repetition 2
game 10/100: A black -> loss (checkmate, 121 plies)  |  A vs B: +3 =3 -4 over 10 games, score 45.0%, elo -35 (95% -265..+165), avg plies 110, checkmate 7, insufficient_material 1, threefold_repetition 2
game 11/100: A white -> win (checkmate, 39 plies)  |  A vs B: +4 =3 -4 over 11 games, score 50.0%, elo -0 (95% -204..+204), avg plies 104, checkmate 8, insufficient_material 1, threefold_repetition 2
game 12/100: A black -> win (checkmate, 104 plies)  |  A vs B: +5 =3 -4 over 12 games, score 54.2%, elo +29 (95% -158..+237), avg plies 104, checkmate 9, insufficient_material 1, threefold_repetition 2
game 13/100: A white -> win (checkmate, 95 plies)  |  A vs B: +6 =3 -4 over 13 games, score 57.7%, elo +54 (95% -121..+265), avg plies 103, checkmate 10, insufficient_material 1, threefold_repetition 2
game 14/100: A black -> loss (checkmate, 65 plies)  |  A vs B: +6 =3 -5 over 14 games, score 53.6%, elo +25 (95% -151..+216), avg plies 100, checkmate 11, insufficient_material 1, threefold_repetition 2
game 15/100: A white -> loss (checkmate, 128 plies)  |  A vs B: +6 =3 -6 over 15 games, score 50.0%, elo -0 (95% -177..+177), avg plies 102, checkmate 12, insufficient_material 1, threefold_repetition 2
game 16/100: A black -> draw (threefold_repetition, 160 plies)  |  A vs B: +6 =4 -6 over 16 games, score 50.0%, elo -0 (95% -163..+163), avg plies 106, checkmate 12, insufficient_material 1, threefold_repetition 3
game 17/100: A white -> win (checkmate, 75 plies)  |  A vs B: +7 =4 -6 over 17 games, score 52.9%, elo +20 (95% -134..+185), avg plies 104, checkmate 13, insufficient_material 1, threefold_repetition 3
game 18/100: A black -> win (checkmate, 118 plies)  |  A vs B: +8 =4 -6 over 18 games, score 55.6%, elo +39 (95% -109..+204), avg plies 105, checkmate 14, insufficient_material 1, threefold_repetition 3
game 19/100: A white -> win (checkmate, 117 plies)  |  A vs B: +9 =4 -6 over 19 games, score 57.9%, elo +55 (95% -87..+221), avg plies 106, checkmate 15, insufficient_material 1, threefold_repetition 3
game 20/100: A black -> loss (checkmate, 107 plies)  |  A vs B: +9 =4 -7 over 20 games, score 55.0%, elo +35 (95% -107..+191), avg plies 106, checkmate 16, insufficient_material 1, threefold_repetition 3
game 21/100: A white -> draw (threefold_repetition, 104 plies)  |  A vs B: +9 =5 -7 over 21 games, score 54.8%, elo +33 (95% -102..+180), avg plies 106, checkmate 16, insufficient_material 1, threefold_repetition 4
game 22/100: A black -> win (checkmate, 102 plies)  |  A vs B: +10 =5 -7 over 22 games, score 56.8%, elo +48 (95% -83..+194), avg plies 105, checkmate 17, insufficient_material 1, threefold_repetition 4
game 23/100: A white -> win (checkmate, 75 plies)  |  A vs B: +11 =5 -7 over 23 games, score 58.7%, elo +61 (95% -66..+208), avg plies 104, checkmate 18, insufficient_material 1, threefold_repetition 4
game 24/100: A black -> loss (checkmate, 71 plies)  |  A vs B: +11 =5 -8 over 24 games, score 56.2%, elo +44 (95% -83..+184), avg plies 103, checkmate 19, insufficient_material 1, threefold_repetition 4
game 25/100: A white -> win (checkmate, 103 plies)  |  A vs B: +12 =5 -8 over 25 games, score 58.0%, elo +56 (95% -68..+196), avg plies 103, checkmate 20, insufficient_material 1, threefold_repetition 4
game 26/100: A black -> loss (checkmate, 89 plies)  |  A vs B: +12 =5 -9 over 26 games, score 55.8%, elo +40 (95% -83..+175), avg plies 102, checkmate 21, insufficient_material 1, threefold_repetition 4
game 27/100: A white -> draw (threefold_repetition, 132 plies)  |  A vs B: +12 =6 -9 over 27 games, score 55.6%, elo +39 (95% -80..+167), avg plies 103, checkmate 21, insufficient_material 1, threefold_repetition 5
game 28/100: A black -> loss (checkmate, 161 plies)  |  A vs B: +12 =6 -10 over 28 games, score 53.6%, elo +25 (95% -93..+149), avg plies 105, checkmate 22, insufficient_material 1, threefold_repetition 5
game 29/100: A white -> win (checkmate, 131 plies)  |  A vs B: +13 =6 -10 over 29 games, score 55.2%, elo +36 (95% -79..+160), avg plies 106, checkmate 23, insufficient_material 1, threefold_repetition 5
game 30/100: A black -> loss (checkmate, 133 plies)  |  A vs B: +13 =6 -11 over 30 games, score 53.3%, elo +23 (95% -92..+144), avg plies 107, checkmate 24, insufficient_material 1, threefold_repetition 5
game 31/100: A white -> loss (checkmate, 148 plies)  |  A vs B: +13 =6 -12 over 31 games, score 51.6%, elo +11 (95% -103..+128), avg plies 108, checkmate 25, insufficient_material 1, threefold_repetition 5
game 32/100: A black -> draw (threefold_repetition, 65 plies)  |  A vs B: +13 =7 -12 over 32 games, score 51.6%, elo +11 (95% -100..+124), avg plies 107, checkmate 25, insufficient_material 1, threefold_repetition 6
game 33/100: A white -> loss (checkmate, 98 plies)  |  A vs B: +13 =7 -13 over 33 games, score 50.0%, elo -0 (95% -110..+110), avg plies 107, checkmate 26, insufficient_material 1, threefold_repetition 6
game 34/100: A black -> draw (threefold_repetition, 176 plies)  |  A vs B: +13 =8 -13 over 34 games, score 50.0%, elo -0 (95% -107..+107), avg plies 109, checkmate 26, insufficient_material 1, threefold_repetition 7
