game 1/100: A white -> win (checkmate, 153 plies)  |  A vs B: +1 =0 -0 over 1 games, score 100.0%, elo +2400 (95% -676..+2400), avg plies 153, checkmate 1
game 2/100: A black -> draw (threefold_repetition, 160 plies)  |  A vs B: +1 =1 -0 over 2 games, score 75.0%, elo +191 (95% -182..+2400), avg plies 156, checkmate 1, threefold_repetition 1
game 3/100: A white -> win (checkmate, 75 plies)  |  A vs B: +2 =1 -0 over 3 games, score 83.3%, elo +280 (95% +5..+2400), avg plies 129, checkmate 2, threefold_repetition 1
game 4/100: A black -> loss (checkmate, 53 plies)  |  A vs B: +2 =1 -1 over 4 games, score 62.5%, elo +89 (95% -293..+2400), avg plies 110, checkmate 3, threefold_repetition 1
game 5/100: A white -> win (checkmate, 101 plies)  |  A vs B: +3 =1 -1 over 5 games, score 70.0%, elo +147 (95% -141..+2400), avg plies 108, checkmate 4, threefold_repetition 1
game 6/100: A black -> win (checkmate, 162 plies)  |  A vs B: +4 =1 -1 over 6 games, score 75.0%, elo +191 (95% -59..+2400), avg plies 117, checkmate 5, threefold_repetition 1
game 7/100: A white -> draw (threefold_repetition, 129 plies)  |  A vs B: +4 =2 -1 over 7 games, score 71.4%, elo +159 (95% -54..+2400), avg plies 119, checkmate 5, threefold_repetition 2
game 8/100: A black -> win (checkmate, 216 plies)  |  A vs B: +5 =2 -1 over 8 games, score 75.0%, elo +191 (95% -8..+2400), avg plies 131, checkmate 6, threefold_repetition 2
game 9/100: A white -> win (checkmate, 135 plies)  |  A vs B: +6 =2 -1 over 9 games, score 77.8%, elo +218 (95% +28..+2400), avg plies 132, checkmate 7, threefold_repetition 2
game 10/100: A black -> draw (threefold_repetition, 63 plies)  |  A vs B: +6 =3 -1 over 10 games, score 75.0%, elo +191 (95% +21..+599), avg plies 125, checkmate 7, threefold_repetition 3
game 11/100: A white -> draw (insufficient_material, 130 plies)  |  A vs B: +6 =4 -1 over 11 games, score 72.7%, elo +170 (95% +17..+451), avg plies 125, checkmate 7, insufficient_material 1, threefold_repetition 3
game 12/100: A black -> loss (checkmate, 263 plies)  |  A vs B: +6 =4 -2 over 12 games, score 66.7%, elo +120 (95% -37..+358), avg plies 137, checkmate 8, insufficient_material 1, threefold_repetition 3
game 13/100: A white -> win (checkmate, 85 plies)  |  A vs B: +7 =4 -2 over 13 games, score 69.2%, elo +141 (95% -11..+384), avg plies 133, checkmate 9, insufficient_material 1, threefold_repetition 3
game 14/100: A black -> loss (checkmate, 87 plies)  |  A vs B: +7 =4 -3 over 14 games, score 64.3%, elo +102 (95% -51..+314), avg plies 129, checkmate 10, insufficient_material 1, threefold_repetition 3
game 15/100: A white -> win (checkmate, 95 plies)  |  A vs B: +8 =4 -3 over 15 games, score 66.7%, elo +120 (95% -28..+335), avg plies 127, checkmate 11, insufficient_material 1, threefold_repetition 3
game 16/100: A black -> loss (checkmate, 139 plies)  |  A vs B: +8 =4 -4 over 16 games, score 62.5%, elo +89 (95% -60..+281), avg plies 128, checkmate 12, insufficient_material 1, threefold_repetition 3
game 17/100: A white -> draw (threefold_repetition, 118 plies)  |  A vs B: +8 =5 -4 over 17 games, score 61.8%, elo +83 (95% -56..+258), avg plies 127, checkmate 12, insufficient_material 1, threefold_repetition 4
game 18/100: A black -> win (checkmate, 172 plies)  |  A vs B: +9 =5 -4 over 18 games, score 63.9%, elo +99 (95% -36..+275), avg plies 130, checkmate 13, insufficient_material 1, threefold_repetition 4
game 19/100: A white -> loss (checkmate, 114 plies)  |  A vs B: +9 =5 -5 over 19 games, score 60.5%, elo +74 (95% -61..+238), avg plies 129, checkmate 14, insufficient_material 1, threefold_repetition 4
game 20/100: A black -> draw (threefold_repetition, 85 plies)  |  A vs B: +9 =6 -5 over 20 games, score 60.0%, elo +70 (95% -58..+223), avg plies 127, checkmate 14, insufficient_material 1, threefold_repetition 5
game 21/100: A white -> loss (checkmate, 146 plies)  |  A vs B: +9 =6 -6 over 21 games, score 57.1%, elo +50 (95% -79..+195), avg plies 128, checkmate 15, insufficient_material 1, threefold_repetition 5
game 22/100: A black -> draw (threefold_repetition, 166 plies)  |  A vs B: +9 =7 -6 over 22 games, score 56.8%, elo +48 (95% -75..+184), avg plies 129, checkmate 15, insufficient_material 1, threefold_repetition 6
game 23/100: A white -> win (checkmate, 91 plies)  |  A vs B: +10 =7 -6 over 23 games, score 58.7%, elo +61 (95% -59..+198), avg plies 128, checkmate 16, insufficient_material 1, threefold_repetition 6
game 24/100: A black -> loss (checkmate, 71 plies)  |  A vs B: +10 =7 -7 over 24 games, score 56.2%, elo +44 (95% -76..+175), avg plies 125, checkmate 17, insufficient_material 1, threefold_repetition 6
game 25/100: A white -> win (checkmate, 119 plies)  |  A vs B: +11 =7 -7 over 25 games, score 58.0%, elo +56 (95% -61..+188), avg plies 125, checkmate 18, insufficient_material 1, threefold_repetition 6
game 26/100: A black -> loss (checkmate, 127 plies)  |  A vs B: +11 =7 -8 over 26 games, score 55.8%, elo +40 (95% -76..+167), avg plies 125, checkmate 19, insufficient_material 1, threefold_repetition 6
game 27/100: A white -> win (checkmate, 113 plies)  |  A vs B: +12 =7 -8 over 27 games, score 57.4%, elo +52 (95% -62..+179), avg plies 125, checkmate 20, insufficient_material 1, threefold_repetition 6
