game 1/100: A white -> win (checkmate, 117 plies)  |  A vs B: +1 =0 -0 over 1 games, score 100.0%, elo +2400 (95% -676..+2400), avg plies 117, checkmate 1
game 2/100: A black -> loss (checkmate, 81 plies)  |  A vs B: +1 =0 -1 over 2 games, score 50.0%, elo -0 (95% -2400..+2400), avg plies 99, checkmate 2
game 3/100: A white -> win (checkmate, 59 plies)  |  A vs B: +2 =0 -1 over 3 games, score 66.7%, elo +120 (95% -748..+2400), avg plies 86, checkmate 3
game 4/100: A black -> loss (checkmate, 81 plies)  |  A vs B: +2 =0 -2 over 4 games, score 50.0%, elo -0 (95% -2400..+2400), avg plies 84, checkmate 4
game 5/100: A white -> win (checkmate, 113 plies)  |  A vs B: +3 =0 -2 over 5 games, score 60.0%, elo +70 (95% -346..+2400), avg plies 90, checkmate 5
game 6/100: A black -> draw (insufficient_material, 140 plies)  |  A vs B: +3 =1 -2 over 6 games, score 58.3%, elo +58 (95% -252..+649), avg plies 98, checkmate 5, insufficient_material 1
game 7/100: A white -> loss (checkmate, 162 plies)  |  A vs B: +3 =1 -3 over 7 games, score 50.0%, elo -0 (95% -331..+331), avg plies 108, checkmate 6, insufficient_material 1
game 8/100: A black -> win (checkmate, 160 plies)  |  A vs B: +4 =1 -3 over 8 games, score 56.2%, elo +44 (95% -221..+393), avg plies 114, checkmate 7, insufficient_material 1
game 9/100: A white -> win (checkmate, 59 plies)  |  A vs B: +5 =1 -3 over 9 games, score 61.1%, elo +79 (95% -152..+446), avg plies 108, checkmate 8, insufficient_material 1
game 10/100: A black -> loss (checkmate, 141 plies)  |  A vs B: +5 =1 -4 over 10 games, score 55.0%, elo +35 (95% -199..+313), avg plies 111, checkmate 9, insufficient_material 1
game 11/100: A white -> draw (threefold_repetition, 170 plies)  |  A vs B: +5 =2 -4 over 11 games, score 54.5%, elo +32 (95% -176..+269), avg plies 117, checkmate 9, insufficient_material 1, threefold_repetition 1
game 12/100: A black -> loss (checkmate, 147 plies)  |  A vs B: +5 =2 -5 over 12 games, score 50.0%, elo -0 (95% -210..+210), avg plies 119, checkmate 10, insufficient_material 1, threefold_repetition 1
game 13/100: A white -> win (checkmate, 71 plies)  |  A vs B: +6 =2 -5 over 13 games, score 53.8%, elo +27 (95% -165..+238), avg plies 115, checkmate 11, insufficient_material 1, threefold_repetition 1
game 14/100: A black -> loss (checkmate, 71 plies)  |  A vs B: +6 =2 -6 over 14 games, score 50.0%, elo -0 (95% -192..+192), avg plies 112, checkmate 12, insufficient_material 1, threefold_repetition 1
