build: 93.6 s wall, 44.2 s cpu
 seconds  ovl  function  (top passes)
   70.63    1  csearch.search_root  (17_nopython_type_inference=64.0, 24_native_lowering=6.6, 7_generic_rewrites=0.0)
   64.00    1  csearch.negamax  (17_nopython_type_inference=52.6, 24_native_lowering=10.6, 14_reconstruct_ssa=0.1)
   35.96    1  csearch.qsearch  (17_nopython_type_inference=30.8, 24_native_lowering=4.0, 4_inline_closure_likes=0.2)
   16.91    1  csearch.do_move  (17_nopython_type_inference=12.2, 24_native_lowering=4.7, 0_translate_bytecode=0.0)
   14.25    2  cboard.make_move  (17_nopython_type_inference=7.8, 24_native_lowering=2.1, 24_native_lowering=2.0)
   13.75    2  cboard.gen_moves  (17_nopython_type_inference=7.0, 17_nopython_type_inference=5.2, 24_native_lowering=0.9)
   12.21    1  csearch.extract_pv  (17_nopython_type_inference=10.9, 24_native_lowering=1.2, 0_translate_bytecode=0.0)
    6.22    2  cboard._gen_pawns  (24_native_lowering=2.0, 17_nopython_type_inference=1.0, 24_native_lowering=1.0)
    3.47    1  cboard.rebuild  (17_nopython_type_inference=2.9, 24_native_lowering=0.5, 7_generic_rewrites=0.0)
    3.33    2  cboard._gen_pieces  (24_native_lowering=1.0, 17_nopython_type_inference=0.9, 24_native_lowering=0.8)
    3.16    1  cboard.make_null  (24_native_lowering=2.3, 17_nopython_type_inference=0.5, 7_generic_rewrites=0.1)
    2.58    1  cboard._gen_castling  (17_nopython_type_inference=2.0, 24_native_lowering=0.4, 10_inline_inlinables=0.1)
    2.58    1  cboard._add_piece  (24_native_lowering=2.2, 17_nopython_type_inference=0.2, 7_generic_rewrites=0.1)
    2.48    1  cboard._move_piece  (24_native_lowering=2.1, 17_nopython_type_inference=0.2, 7_generic_rewrites=0.1)
    1.97    1  nnue.copy_acc  (24_native_lowering=1.7, 17_nopython_type_inference=0.1, 0_translate_bytecode=0.0)
    1.80    1  cboard._castle_ok  (17_nopython_type_inference=1.4, 24_native_lowering=0.4, 0_translate_bytecode=0.0)
    1.71    2  cboard.unmake_move  (24_native_lowering=0.5, 24_native_lowering=0.5, 0_translate_bytecode=0.2)
    1.54    1  nnue.update  (24_native_lowering=1.3, 17_nopython_type_inference=0.1, 7_generic_rewrites=0.0)
    1.54    1  csearch.static_eval  (17_nopython_type_inference=0.9, 24_native_lowering=0.6, 0_translate_bytecode=0.0)
    1.41    1  cboard.in_check  (24_native_lowering=1.3, 17_nopython_type_inference=0.1, 20_nopython_rewrites=0.0)
    1.23    1  cboard.is_attacked  (17_nopython_type_inference=0.4, 24_native_lowering=0.4, 0_translate_bytecode=0.2)
    1.17    1  cboard._remove_piece  (24_native_lowering=1.1, 17_nopython_type_inference=0.0, 7_generic_rewrites=0.0)
    1.13    1  csearch.score_moves  (24_native_lowering=0.5, 17_nopython_type_inference=0.5, 7_generic_rewrites=0.0)
    1.06    1  cboard.bit  (24_native_lowering=1.0, 17_nopython_type_inference=0.0, 0_translate_bytecode=0.0)
    0.96    1  csearch.check_clock  (15_nopython_type_inference=0.5, 22_native_lowering=0.3, 2_inline_closure_likes=0.0)
    0.93    1  nnue.refresh  (24_native_lowering=0.7, 17_nopython_type_inference=0.2, 20_nopython_rewrites=0.0)
    0.83    1  csearch.is_draw  (24_native_lowering=0.5, 17_nopython_type_inference=0.3, 7_generic_rewrites=0.0)
    0.75    1  cboard.piece_color  (24_native_lowering=0.7, 17_nopython_type_inference=0.0, 14_reconstruct_ssa=0.0)
    0.66    1  nnue.evaluate  (24_native_lowering=0.4, 17_nopython_type_inference=0.2, 7_generic_rewrites=0.0)
    0.57    1  cboard.bishop_attacks  (17_nopython_type_inference=0.4, 24_native_lowering=0.2, 0_translate_bytecode=0.0)
    0.56    1  csearch.tt_flag  (24_native_lowering=0.4, 17_nopython_type_inference=0.0, 14_reconstruct_ssa=0.0)
    0.49    1  csearch.tt_store  (24_native_lowering=0.4, 17_nopython_type_inference=0.1, 20_nopython_rewrites=0.0)
    0.44    1  cboard.piece_type  (24_native_lowering=0.3, 17_nopython_type_inference=0.0, 0_translate_bytecode=0.0)
    0.40    1  cboard.unmake_null  (24_native_lowering=0.4, 17_nopython_type_inference=0.0, 7_generic_rewrites=0.0)
    0.39    1  csearch.pick_next  (24_native_lowering=0.3, 17_nopython_type_inference=0.0, 20_nopython_rewrites=0.0)
    0.39    1  cboard.slider_attacks_dir  (24_native_lowering=0.2, 17_nopython_type_inference=0.1, 0_translate_bytecode=0.0)
    0.36    1  cboard.compute_hash  (24_native_lowering=0.3, 17_nopython_type_inference=0.0, 7_generic_rewrites=0.0)
    0.26    1  csearch.psqt_eval  (24_native_lowering=0.2, 17_nopython_type_inference=0.0, 7_generic_rewrites=0.0)
    0.25    1  csearch.score_from_tt  (24_native_lowering=0.2, 17_nopython_type_inference=0.0, 20_nopython_rewrites=0.0)
    0.22    1  cboard.rook_attacks  (24_native_lowering=0.2, 17_nopython_type_inference=0.0, 20_nopython_rewrites=0.0)
    0.22    1  csearch.score_to_tt  (24_native_lowering=0.2, 17_nopython_type_inference=0.0, 4_inline_closure_likes=0.0)
    0.21    1  csearch.tt_probe  (24_native_lowering=0.2, 17_nopython_type_inference=0.0, 7_generic_rewrites=0.0)
    0.18    1  nnue.feature_index  (24_native_lowering=0.1, 17_nopython_type_inference=0.0, 20_nopython_rewrites=0.0)
    0.13    1  csearch.tt_score  (24_native_lowering=0.1, 17_nopython_type_inference=0.0, 0_translate_bytecode=0.0)
    0.11    1  csearch.tt_depth  (24_native_lowering=0.1, 17_nopython_type_inference=0.0, 20_nopython_rewrites=0.0)
    0.11    1  cboard.msb  (24_native_lowering=0.1, 17_nopython_type_inference=0.0, 20_nopython_rewrites=0.0)
    0.10    1  cboard.shr8  (24_native_lowering=0.1, 17_nopython_type_inference=0.0, 7_generic_rewrites=0.0)
    0.10    1  cboard.mv_from  (24_native_lowering=0.1, 17_nopython_type_inference=0.0, 20_nopython_rewrites=0.0)
    0.10    1  cboard.mv_to  (24_native_lowering=0.1, 17_nopython_type_inference=0.0, 18_strip_phis=0.0)
    0.10    1  cboard.lsb  (24_native_lowering=0.1, 17_nopython_type_inference=0.0, 0_translate_bytecode=0.0)
    0.09    1  csearch.tt_move  (24_native_lowering=0.1, 17_nopython_type_inference=0.0, 0_translate_bytecode=0.0)
    0.09    1  cboard.mv_flags  (24_native_lowering=0.1, 17_nopython_type_inference=0.0, 0_translate_bytecode=0.0)
    0.08    1  cboard.mv_promo  (24_native_lowering=0.1, 17_nopython_type_inference=0.0, 22_ir_legalization=0.0)
sum of per-function pipeline times: 276.2 s
