worker 0: 50001 positions, 434 games, 157 pos/s
worker 1: 50133 positions, 435 games, 157 pos/s
worker 3: 50019 positions, 434 games, 154 pos/s
worker 4: 50094 positions, 452 games, 153 pos/s
worker 2: 50061 positions, 446 games, 148 pos/s
worker 0: 100099 positions, 887 games, 137 pos/s
worker 1: 100176 positions, 894 games, 137 pos/s
worker 3: 100086 positions, 878 games, 137 pos/s
worker 4: 100107 positions, 893 games, 137 pos/s
worker 2: 100119 positions, 881 games, 129 pos/s
worker 1: 150234 positions, 1345 games, 113 pos/s
worker 0: 150107 positions, 1341 games, 113 pos/s
worker 4: 150228 positions, 1340 games, 111 pos/s
worker 3: 150127 positions, 1330 games, 109 pos/s
worker 2: 150174 positions, 1324 games, 108 pos/s
worker 1: 200321 positions, 1782 games, 75 pos/s
worker 0: 200237 positions, 1788 games, 75 pos/s
worker 4: 200311 positions, 1786 games, 75 pos/s
worker 3: 200201 positions, 1785 games, 74 pos/s
worker 2: 200278 positions, 1773 games, 74 pos/s
