16 bots, 12000 games total, 0 already done, 12000 to play, 12 workers
[1/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (7.0s) | elapsed 0m, eta 1699m
[2/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (7.2s) | elapsed 0m, eta 862m
[3/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.4s) | elapsed 0m, eta 582m
[4/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (7.3s) | elapsed 0m, eta 442m
[5/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.4s) | elapsed 0m, eta 361m
[6/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.5s) | elapsed 0m, eta 302m
[7/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.5s) | elapsed 0m, eta 306m
[8/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.7s) | elapsed 0m, eta 275m
[9/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.6s) | elapsed 0m, eta 245m
[10/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.5s) | elapsed 0m, eta 221m
[11/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.6s) | elapsed 0m, eta 202m
[12/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.7s) | elapsed 0m, eta 186m
[13/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (6.6s) | elapsed 0m, eta 237m
[14/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (6.9s) | elapsed 0m, eta 222m
[15/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.0s) | elapsed 0m, eta 214m
[16/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (6.8s) | elapsed 0m, eta 222m
[17/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (9.1s) | elapsed 0m, eta 210m
[18/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (6.9s) | elapsed 0m, eta 199m
[19/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (6.9s) | elapsed 0m, eta 190m
[20/12000] 01_negamax vs 02_alpha_beta_pruning: black by checkmate (14.2s) | elapsed 0m, eta 231m
[21/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (12.9s) | elapsed 0m, eta 227m
[22/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (8.6s) | elapsed 0m, eta 218m
[23/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (13.4s) | elapsed 0m, eta 210m
[24/12000] 01_negamax vs 02_alpha_beta_pruning: black by checkmate (15.8s) | elapsed 0m, eta 202m
[25/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (9.1s) | elapsed 0m, eta 197m
[26/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.6s) | elapsed 0m, eta 194m
[27/12000] 01_negamax vs 02_alpha_beta_pruning: white by checkmate (11.5s) | elapsed 0m, eta 203m
[28/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (18.7s) | elapsed 0m, eta 213m
[29/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (12.4s) | elapsed 1m, eta 208m
[30/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (7.2s) | elapsed 1m, eta 202m
[31/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.4s) | elapsed 1m, eta 203m
[32/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (7.2s) | elapsed 1m, eta 197m
[33/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (7.4s) | elapsed 1m, eta 198m
[34/12000] 01_negamax vs 02_alpha_beta_pruning: draw by threefold_repetition (8.9s) | elapsed 1m, eta 192m
[35/12000] 02_alpha_beta_pruning vs 01_negamax: white by checkmate (15.1s) | elapsed 1m, eta 188m
[36/12000] 01_negamax vs 02_alpha_beta_pruning: black by checkmate (18.2s) | elapsed 1m, eta 201m
[37/12000] 02_alpha_beta_pruning vs 01_negamax: draw by threefold_repetition (6.5s) | elapsed 1m, eta 196m
